wave,label,symbol,session_start,session_end,vt,sl_atr,tp_atr,total_net_profit,profit_factor,total_trades,max_dd_pct,sharpe,recovery_factor,win_rate,source_path
w1,EBB_W1_VT030,EURUSD,13.0,20.0,0.3,0.5,2.0,-705.18,0.88,1459,81.93,-5.0,-0.53,29.2,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w1_EBB_W1_VT030_20260421_235531.htm
w2,W2_S0712_VT020,EURUSD,7,12,0.2,0.5,2.0,-831.5,0.87,2549,83.22,-5.0,-0.98,29.74,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w2_W2_S0712_VT020_20260422_001418.htm
w2,W2_S0712_VT100,EURUSD,7,12,1.0,0.5,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w2_W2_S0712_VT100_20260422_001536.htm
w2,W2_S0820_VT035,EURUSD,8,20,0.35,0.5,2.0,-513.88,0.9,1231,66.85,-5.0,-0.52,29.41,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w2_W2_S0820_VT035_20260422_002121.htm
w2,W2_S1317_VT070,EURUSD,13,17,0.7,0.5,2.0,82.56,2.31,17,4.2,44.59,1.59,41.18,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w2_W2_S1317_VT070_20260422_001654.htm
w2,W2_S1421_VT050,EURUSD,14,21,0.5,0.5,2.0,-8.57,0.99,202,22.9,-0.91,-0.03,29.21,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w2_W2_S1421_VT050_20260422_001842.htm
w3,W3_asian_S1416,EURUSD,14,16,0.5,0.5,2.0,-165.46,0.8,181,27.39,-5.0,-0.51,24.31,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w3_W3_asian_S1416_20260422_003115.htm
w3,W3_brk_range_S1317,EURUSD,13,17,0.5,0.5,2.0,-107.9,0.86,169,18.56,-5.0,-0.5,24.26,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w3_W3_brk_range_S1317_20260422_003007.htm
w3,W3_ema_x_S0812,EURUSD,8,12,0.5,0.5,2.0,45.52,1.34,32,4.43,24.96,0.76,37.5,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w3_W3_ema_x_S0812_20260422_003234.htm
w3,W3_fade_short_S1317,EURUSD,13,17,0.5,0.5,2.0,-178.36,0.8,209,28.8,-5.0,-0.55,24.88,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w3_W3_fade_short_S1317_20260422_003352.htm
